,Head1,Head2,Head3,Head4,Head5,Head6,Head7,Head8
ACTG1,0.09025234227851449,0.06406525211769323,0.09689252474806763,0.058509591686714976,0.06322564168260869,0.09593330454036351,0.09735473609641304,0.08600581295096618
RPL30,0.08926781878980676,0.05703001549830918,0.0752901385757005,0.046821334514806766,0.04767507939201691,0.0759890097580918,0.07117082091449276,0.07560248047596618
RPS15,0.08816740522836956,0.07109332323795774,0.08960247552958936,0.05769905458623188,0.06689294849444445,0.10503715601268114,0.10041049557392512,0.08859715011763285
FAU,0.08809990898566425,0.06061798336870773,0.08214764727223067,0.054107701923429945,0.05561874420024154,0.0799573627630797,0.08443225904035749,0.07308100474311595
RPS14,0.08809486003268116,0.05968961984879227,0.08697934418167874,0.05305773450591788,0.06079531012736715,0.10029587461007246,0.08941432624129227,0.08776126727644928
RPS12,0.08804566435614736,0.0602900370705314,0.07538716586140097,0.04893877476355073,0.05800820699600242,0.08063813298544688,0.0781588761546739,0.07930933858043478
RPS7,0.08803910179589373,0.05750402504374397,0.07040401950785025,0.04738207008635266,0.054217262313164254,0.08436426321937199,0.08229307728393719,0.08082969157246378
RPL18,0.08707476046628018,0.07729818189456522,0.08607625574785385,0.05379736125021739,0.06990678865243961,0.099935458175,0.08991759600708939,0.08813664582149758
MT-CO2,0.08620479977222223,0.05961570280001208,0.07507938295615942,0.05377737891855072,0.06380754485640096,0.08393900548592995,0.08515764604202898,0.07382030843538648
RPL36,0.08582843239036232,0.05608693361425121,0.08561784230929952,0.04300263069688406,0.05630633891014493,0.08828245796449276,0.08798169228190822,0.07130878751582126
SERF2,0.08530152072560387,0.061413147508091785,0.06696203050408213,0.04286102878479468,0.05231020798335749,0.08553854636835749,0.08145340495797102,0.07195513710386474
TPT1,0.0851717818379227,0.06168974172632851,0.0722893763008454,0.04371980937456522,0.05620017922487923,0.07466376768188407,0.08423045233431159,0.0720555650494082
GPX1,0.0851243223371256,0.060786972768599026,0.08715982880136594,0.0523416744361715,0.06616945967789854,0.14146520875120772,0.10771833543393719,0.09367418939566426
HSP90AA1,0.08425611820589371,0.06441654347834541,0.06754495084915459,0.053394338401666665,0.06021648711811595,0.138424956357971,0.09109204130821257,0.07576660912065217
MALAT1,0.0830417318403261,0.0617093987673913,0.08115299572995169,0.05475259060969807,0.06829879230898551,0.11063873352801933,0.07569781443224638,0.07616152997780193
RPS9,0.08291528624397343,0.06397854271727053,0.08591770792004831,0.05352031417225845,0.057641246260386476,0.09539611415615942,0.07837113576328501,0.08343112655374396
TMSB10,0.08228980678381642,0.0661108784374517,0.06666234346493961,0.05275459168954106,0.05826974407657005,0.12565658006268118,0.09779998027741547,0.08325171394613526
RPL34,0.08107342641099034,0.05273997340100242,0.07275916039456522,0.044768883996944446,0.04577715266630435,,0.07860742881964976,0.06397446989190822
RPS23,0.0802602074185749,0.05493901219228261,0.07059141638683575,0.04568591507280193,0.05370270305480677,,0.07540605655022947,0.06866410727770168
UBC,0.0801566537400773,0.05456323714613527,0.07389838449746378,0.051580689008979476,0.05660802908985507,0.08038673807874397,0.07452342244082126,0.07051629921002416
CALM1,0.07962113021908213,0.055073678006171495,0.06381763659655797,0.05122932995371981,0.057078093846582134,0.11294495774335749,0.08941350345301932,0.08069963834613528
RPL35,0.07937960390543478,0.05676507648105072,0.07146329259014493,0.04139596330194444,0.04988930732958937,0.07552170278031402,0.06966583781400966,0.0623971764771739
RPL37,0.07879850143103866,0.0649727576897343,0.07238292446751209,0.0481778889537802,0.05419843059408212,0.0763034012539976,0.07721313750301932,0.0643437583302657
MYL6,0.07844627356881642,0.058239373683333324,0.0737389589705314,0.04310694318178745,0.05247624646437198,0.07757421694685988,0.07782087599468598,0.07217128100363526
CYBA,0.07795900387141304,0.05884982061400966,0.06903835993251209,0.0477433648490942,0.059835591673816434,0.12507572187439614,0.11402156087835749,0.08337204126618357
RPL13,0.07763925765916667,0.0566560609054227,0.07917086309760869,0.04807197055207729,0.054520053589613524,0.0769067110281401,0.07186492256847826,0.07911127369396136
RPL7A,0.07728462781329712,0.05636021108213768,0.06726651136702898,0.045666998293212566,0.050505071158514485,0.07370844582493961,0.07828869177270531,0.06781257711907006
RPS8,0.07727789153214976,0.05342020237862319,0.07032173524664251,0.05026412758589372,0.05675911585567633,0.07880024657861111,0.07823897435108695,0.0702361872971256
RPL6,0.07720598565048307,0.057677045708886474,0.0720927807939855,0.0474054370675,0.060819425766425114,0.08219229264415459,0.07647610008937199,0.08285806364316425
RPL15,0.07686677304565218,0.05235882594880435,,0.04264174265899758,0.04851096186292271,,0.07124089485869566,0.06360966966835749
FTH1,0.0763522606518116,0.05739655434577294,0.08394130875446858,0.05793149070603865,0.050825992310144924,0.07608205653227053,0.08222090849566427,0.08181379940929952
MT-ATP6,0.07606155189241545,0.049793124200120775,0.06668491916074878,0.03855015522330918,0.05030740442998189,,0.07505156277657005,
EEF1A1,0.07565783888393719,0.05354688059444444,0.06775420946020531,0.046745789029009666,0.04975158140217391,0.07412490307729469,0.07571739007862319,0.07054237715916667
RPS3,0.07532271658043478,0.04804096502184782,0.061845285665338166,,,,,0.06586319319939614
RPLP2,0.07409782929408212,0.049757538745410626,0.06674427939527779,0.0494312905680314,0.04636936471533816,0.07635011718007247,0.07225393244673914,0.08206630205205316
RPS13,0.07393959189577294,0.05591783613087452,0.0680481782999034,0.041428474106642514,0.04495536068911835,,0.07778561824456523,0.06491527522246376
GAPDH,0.07385364248047101,,0.059208014036823665,,0.04333072778550725,,0.0668368753807971,
RPS25,0.07332987412512078,0.052793109918862324,0.061644258984746375,0.03950199142468599,0.04876795269967391,,0.06723684713381642,0.06824294688946861
RPL10,0.07293109376509663,0.06304859364722223,0.07328809619019323,0.04826959389444444,0.05482613286690821,0.08427226060437197,0.06771124710688407,0.06966125199219807
TXNIP,0.07276137444357729,0.06252388033937198,0.07861809105513286,0.05015002278937198,0.06188133678659421,0.13008543436485506,0.09723743817241545,0.0771645522857488
DDX5,0.07256041033768115,0.06582553607693237,0.08214597507713768,0.050327617198740335,0.059172087574987924,0.10127645632904589,0.08584888050771738,0.0913318631107488
RPS19,0.07250271544782609,0.05599831306086957,0.068426046502657,0.04414045656040701,0.05457087433949276,0.10516791645229469,0.08022618719927536,0.08088012498538645
RPL10A,0.07236997014123189,0.0518786926421256,0.06539484212028986,0.046502244836111116,0.04549557491937198,0.07641862445821256,0.07385502730652173,0.06597978488279468
MT-CO1,0.0723438649596739,0.05865865582729468,,0.04336684741570049,0.045689579986956524,0.07193048613864733,0.08523618127258456,0.06394695719239131
H3-3A,0.07226036161050725,,,,0.044586052131400974,,,0.061623883473550724
RHOA,0.07220193852487923,,0.05919927821449275,,0.04815422904804348,,,
BTF3,0.07192559360820049,0.053827716161835744,0.07334253344504832,0.04650659244118358,0.05451065969387681,0.0788602291263285,0.07450125582016909,0.06778097144166666
RPL26,0.07191572719721014,0.05045857119661836,0.059647471402173906,0.045106761080821255,0.04572503609541063,,0.07192212280289856,0.067693237
RPS3A,0.07183450227740337,0.05698714236629228,0.06558020798647343,0.04029994378456522,0.0508346556263285,,0.06789813457644928,0.07206550215907005
RPL28,0.07106977611896136,0.054671465469444444,0.06884191833454105,0.040445382885048314,0.05237888801257247,0.08591605905312802,0.07295511696932368,0.06834366509770531
RPL14,0.07082968267240337,0.04950104736194444,,,,,0.06838700346388889,
EIF1,0.07037108320858695,0.06086011803900966,0.07397757316533816,0.04755004954830918,0.050738415308212555,0.09899278916425122,0.08570050702379228,0.07328048695993962
NPM1,0.06981103609468599,0.04807118267230314,,0.040056748557065223,,,,
RPL3,0.06937838530940822,0.05187192269380435,0.06708585671635266,,0.04723587532910628,0.07482632883913043,,0.059114276740338166
RPS27,0.06889056172584541,0.057648051559541065,0.07844099152074878,0.048531335849263287,0.05101007369432367,0.09138474865479469,0.07406784284477053,0.07506800045567633
COMMD6,0.06887150393467391,,,0.040236649385265694,,,,
CIRBP,0.06851385322108697,0.047951450705072465,0.0603981989473913,,0.0443861431450483,,,
HNRNPA2B1,0.06831281881908213,,,0.04424027172224637,0.04630256082542271,,0.07222374338115942,0.06694336772415459
RPL38,0.06825474753224638,0.05174753860458937,0.059160911520169085,0.04327346051362319,,,0.07007811360217392,
EEF1B2,0.06787073757185991,0.05611013662207729,0.06433672934975845,0.04723323496931159,0.052476682092512085,0.1088674082736715,0.07865789327475846,0.0672336069932367
EEF1D,0.06786553156698068,0.05292862091908213,0.06722119366437197,,,0.07261208077664252,0.06874369147004832,0.06577875357417393
RACK1,0.06758404096417873,0.05689738809490338,0.07688750351714975,0.047694405711376814,0.05472610836631643,0.08617865525785023,0.07819447673850241,0.06729360675539856
HINT1,0.06751363112008454,0.05243817565120774,0.06500499115700482,0.04363811281568841,0.044868081955555555,,,0.06905367169239131
APOE,0.06708786509770531,0.05389839627945652,0.06383209337345411,0.04539864940398551,0.049106109450362326,,0.07283270540990339,0.06541494839432367
RPL24,0.06699917407890096,0.05130155509914251,0.06265997164287439,0.04071852984532609,,,,0.06147876356743961
